epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,21445.6,0.54584,0.40301,0.89032,0.88942,0.49966,0.65198,0.49463,0.82943,0.76775,1.08166,0.000236714,0.000236714,0.000236714
67,21766.7,0.52593,0.38589,0.88142,0.6225,0.60549,0.65519,0.50811,0.82967,0.77255,1.08139,0.00021471,0.00021471,0.00021471
68,22086.9,0.52586,0.37071,0.89103,0.6557,0.70051,0.67101,0.52329,0.81417,0.76306,1.07935,0.000192705,0.000192705,0.000192705
69,22407.8,0.52103,0.36122,0.87221,0.70548,0.69276,0.73985,0.57783,0.83942,0.75702,1.08647,0.000170701,0.000170701,0.000170701
70,22728.7,0.52127,0.38602,0.87777,0.80398,0.67553,0.77621,0.61185,0.81944,0.74002,1.08341,0.000148696,0.000148696,0.000148696
71,23049.3,0.51487,0.37287,0.87908,0.93945,0.60062,0.71003,0.50149,0.85394,0.79152,1.09728,0.000126692,0.000126692,0.000126692
72,23370.2,0.52437,0.38043,0.88622,0.93691,0.59864,0.68924,0.51661,0.82892,0.77904,1.08829,0.000104688,0.000104688,0.000104688
73,23690.9,0.5322,0.36182,0.88214,0.9448,0.60238,0.68371,0.51047,0.81607,0.7615,1.07793,8.26832e-05,8.26832e-05,8.26832e-05
74,24011.6,0.48125,0.34933,0.85336,0.93051,0.59712,0.69213,0.52081,0.8065,0.75538,1.07169,6.06788e-05,6.06788e-05,6.06788e-05
75,24332.2,0.49402,0.34602,0.88539,0.93585,0.59907,0.69614,0.5119,0.80888,0.75331,1.0698,3.86744e-05,3.86744e-05,3.86744e-05
