epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2584.44,0.54885,0.38232,0.85365,0.98466,0.95349,0.97548,0.81414,0.69181,0.41259,0.9177,0.0005942,0.0005942,0.0005942
73,2617.44,0.53643,0.39083,0.84015,0.98691,0.93023,0.97669,0.8166,0.69209,0.41095,0.92073,0.0005744,0.0005744,0.0005744
74,2650.43,0.58922,0.38403,0.89021,0.98393,0.94186,0.97516,0.82021,0.71191,0.40826,0.93578,0.0005546,0.0005546,0.0005546
75,2683.43,0.57021,0.37751,0.88295,0.97612,0.95055,0.9765,0.80963,0.71679,0.40848,0.92698,0.0005348,0.0005348,0.0005348
76,2716.34,0.53835,0.38371,0.86779,0.97617,0.95261,0.97734,0.81525,0.65059,0.40016,0.90679,0.000515,0.000515,0.000515
77,2749.21,0.53437,0.36295,0.85101,0.97726,0.95349,0.97685,0.79628,0.69957,0.40219,0.92175,0.0004952,0.0004952,0.0004952
78,2782.27,0.54982,0.36493,0.85192,0.97278,0.96512,0.97577,0.8083,0.67315,0.37888,0.91786,0.0004754,0.0004754,0.0004754
79,2815.24,0.54356,0.36019,0.85904,0.98625,0.95349,0.97726,0.79871,0.69988,0.39618,0.92479,0.0004556,0.0004556,0.0004556
80,2848.19,0.55917,0.37848,0.87032,0.97287,0.97674,0.97864,0.81598,0.66673,0.3765,0.91189,0.0004358,0.0004358,0.0004358
81,2881.31,0.51077,0.35492,0.84149,0.98577,0.95349,0.97945,0.82502,0.66874,0.37736,0.90324,0.000416,0.000416,0.000416
82,2915.23,0.50996,0.37565,0.84626,0.97397,0.95349,0.9782,0.822,0.67592,0.389,0.91323,0.0003962,0.0003962,0.0003962
83,2948.08,0.54457,0.37322,0.86837,0.98807,0.96316,0.97813,0.82596,0.65521,0.39317,0.9111,0.0003764,0.0003764,0.0003764
84,2981.03,0.56197,0.37865,0.84944,0.97567,0.94186,0.97226,0.82627,0.65798,0.38101,0.9057,0.0003566,0.0003566,0.0003566
85,3014.04,0.52371,0.35239,0.86127,0.98744,0.91443,0.97359,0.83626,0.66026,0.37426,0.90735,0.0003368,0.0003368,0.0003368
86,3046.98,0.51087,0.34965,0.82818,0.98778,0.93984,0.97549,0.83485,0.66169,0.37971,0.91657,0.000317,0.000317,0.000317
87,3079.89,0.51256,0.34323,0.87097,0.96826,0.94186,0.97037,0.81872,0.69821,0.3833,0.92085,0.0002972,0.0002972,0.0002972
88,3112.87,0.52975,0.36318,0.87126,0.99803,0.93023,0.97197,0.8216,0.65415,0.37115,0.90615,0.0002774,0.0002774,0.0002774
89,3145.81,0.5392,0.35579,0.8676,0.96492,0.95949,0.98021,0.8247,0.65517,0.37148,0.90474,0.0002576,0.0002576,0.0002576
